"longitude","latitude","height"
"-9.51532","63.87328","11341.9"
"-9.2317","63.80892","11341.63"
"-8.94171","63.74226","11341.42"
"-8.68986","63.68351","11341.25"
"-8.68986","63.68351","11341.25"
"-8.68986","63.68351","11341.25"
"-7.92336","63.50079","11340.42"
"-7.64275","63.43227","11339.93"
"-7.3626","63.36295","11339.44"
"-7.07893","63.29186","11338.96"
"-6.79746","63.22041","11338.59"
"-6.51996","63.14909","11338.35"
"-6.2396","63.07619","11338.19"
"-5.96405","63.00343","11338.03"
"-5.68573","62.92918","11337.78"
"-5.41433","62.8559","11337.48"
"-5.14192","62.78137","11337.16"
"-4.87172","62.70662","11336.81"
"-4.59666","62.62958","11336.46"
"-4.32555","62.55266","11336.15"
"-4.05406","62.47478","11335.77"
"-3.78426","62.39643","11335.2"
"-3.51362","62.31692","11334.51"
"-3.23642","62.23443","11333.7"
"-2.95807","62.15054","11332.93"
"-2.68351","62.0668","11332.33"
"-2.40287","61.98033","11331.99"
"-2.12929","61.89487","11332.02"
"-1.85286","61.80753","11332.24"
"-1.58244","61.72105","11332.59"
"-1.29796","61.629","11332.95"
"-0.99897","61.53575","11333.24"
"-0.72598","61.44937","11333.32"
"-0.4629","61.36505","11333.18"
"-0.20344","61.28091","11332.86"
"0.06082","61.19394","11332.32"
"0.30075","61.10381","11331.7"
"0.55559","61.00829","11331.04"
"0.80816","60.91292","11330.49"
"1.05645","60.81812","11330.09"
"1.20163","60.76212","11329.93"
"1.55545","60.62428","11329.72"
"1.7891","60.53211","11329.61"
"2.11271","60.40288","11329.37"
"2.34208","60.31018","11329.1"
"2.58365","60.2115","11328.73"
"2.82178","60.11334","11328.3"
"3.05901","60.01431","11327.89"
"3.30066","59.91238","11327.52"
"3.54318","59.80911","11327.27"
"3.81699","59.69128","11327.18"
"4.04382","59.59264","11327.21"
"4.26781","59.49413","11327.28"
"4.48981","59.39563","11327.33"
"4.71266","59.29577","11327.27"
"4.9339","59.19569","11327.12"
"5.15121","59.09647","11326.93"
"5.369","58.99593","11326.76"
"5.58712","58.89445","11326.64"
"5.80106","58.79399","11326.63"
"6.01209","58.69382","11326.61"
"6.22302","58.59279","11326.54"
"6.43561","58.49014","11326.41"
"6.64318","58.38904","11326.06"
"6.85901","58.28279","11325.58"
"7.06518","58.18048","11325.08"
"7.33904","58.04292","11324.34"
"7.54349","57.93929","11323.87"
"7.75497","57.83101","11323.44"
"7.96483","57.72258","11323.05"
"8.21414","57.59252","11322.7"
"8.41748","57.48535","11322.44"
"8.61745","57.3788","11322.24"
"8.82158","57.26926","11322.04"
"8.97506","57.19446","11321.91"
"9.00507","57.18388","11321.88"
"9.26585","57.09398","10613"
"9.50849","57.00964","9820.32"
"9.78744","56.91142","9141.98"
"10.01519","56.83041","8555.11"
"10.23368","56.75202","8044.42"
"10.44206","56.67646","7510.89"
"10.6392","56.6044","6977.33"
"10.83072","56.53383","6359.92"
"11.00705","56.4684","5826.32"
"11.18348","56.4025","5368.92"
"11.27506","56.36806","5224.04"
"11.35806","56.33677","5223.95"
"11.43522","56.30759","5223.86"
"11.51525","56.27714","5200.91"
"11.6019","56.2441","4804.58"
"11.69271","56.20927","4347.29"
"11.77829","56.17645","4034.79"
"11.86415","56.14343","3806.12"
"11.94858","56.11081","3524.1"
"11.9781","56.0994","3394.53"
"12.00814","56.08772","3295.44"
"12.03852","56.07591","3196.35"
"12.06931","56.06392","3142.99"
"12.09844","56.05261","3120.1"
"12.12674","56.04163","3097.22"
"12.15362","56.03114","3074.33"
"12.18075","56.02059","3051.45"
"12.20744","56.01016","3028.56"
"12.23328","56.00001","2998.06"
"12.25825","55.99019","2944.7"
"12.28366","55.98023","2868.48"
"12.30761","55.97082","2746.55"
"12.33224","55.96115","2616.99"
"12.35754","55.95117","2472.19"
"12.38201","55.94156","2335.01"
"12.41163","55.9299","2190.21"
"12.43567","55.92041","2053.03"
"12.46058","55.91052","1938.7"
"12.48321","55.90156","1824.38"
"12.50836","55.89155","1694.82"
"12.53124","55.88246","1595.74"
"12.5542","55.87334","1504.28"
"12.56703","55.86827","1458.55"
"12.58939","55.85938","1351.85"
"12.60165","55.85454","1306.12"
"12.62398","55.84569","1214.66"
"12.63316","55.84206","1176.55"
"12.64551","55.83714","1130.81"
"12.66682","55.82863","1062.21"
"12.68605","55.82094","1016.47"
"12.70785","55.81224","955.49"
"12.72658","55.80473","924.99"
"12.73615","55.80093","902.12"
"12.74526","55.79728","871.63"
"12.76362","55.78995","841.13"
"12.77244","55.78638","818.26"
"12.78259","55.78234","795.39"
